representation,C,repeat,fold,accuracy,precision,recall,f2,pr_auc,tn,fp,fn,tp
precursor_structured,0.5,5,1,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.8357954545454546,4,2,3,5
precursor_structured,0.5,5,2,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.896565934065934,3,3,2,6
precursor_structured,0.5,5,3,0.5,0.5555555555555556,0.625,0.6097560975609756,0.7905219780219781,2,4,3,5
precursor_structured,0.5,5,4,0.5714285714285714,0.6666666666666666,0.5,0.5263157894736842,0.6251945970695971,4,2,4,4
precursor_structured,0.5,5,5,0.7142857142857143,1.0,0.5,0.5555555555555556,0.9317956349206349,6,0,4,4
precursor_structured,0.5,6,1,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.896565934065934,5,1,3,5
precursor_structured,0.5,6,2,0.5714285714285714,0.6666666666666666,0.5,0.5263157894736842,0.8614448051948053,4,2,4,4
precursor_structured,0.5,6,3,0.35714285714285715,0.4,0.25,0.2702702702702703,0.6952266483516484,3,3,6,2
precursor_structured,0.5,6,4,0.5714285714285714,0.625,0.625,0.625,0.7962037962037962,3,3,3,5
precursor_structured,0.5,6,5,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.8443452380952381,4,2,3,5
precursor_structured,0.5,7,1,0.7142857142857143,0.75,0.75,0.75,0.8943452380952381,4,2,2,6
precursor_structured,0.5,7,2,0.6428571428571429,0.8,0.5,0.5405405405405406,0.8238906926406927,5,1,4,4
precursor_structured,0.5,7,3,0.5714285714285714,0.625,0.625,0.625,0.838474025974026,3,3,3,5
precursor_structured,0.5,7,4,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.8543851981351982,5,1,3,5
precursor_structured,0.5,7,5,0.42857142857142855,0.5,0.5,0.5,0.5839556277056277,2,4,4,4
precursor_structured,0.5,8,1,0.5,0.6,0.375,0.40540540540540543,0.7482007575757575,4,2,5,3
precursor_structured,0.5,8,2,0.35714285714285715,0.42857142857142855,0.375,0.38461538461538464,0.6226377788877788,2,4,5,3
precursor_structured,0.5,8,3,0.7857142857142857,1.0,0.625,0.6756756756756757,0.8910714285714285,6,0,3,5
precursor_structured,0.5,8,4,0.7142857142857143,0.75,0.75,0.75,0.9241452991452992,4,2,2,6
precursor_structured,0.5,8,5,0.7142857142857143,0.75,0.75,0.75,0.8720619658119658,4,2,2,6
precursor_structured,0.5,9,1,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.86875,3,3,2,6
precursor_structured,0.5,9,2,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.8207542457542457,4,2,3,5
