representation,repeat,fold,n,accuracy,precision,recall,f2,pr_auc,tn,fp,fn,tp
transformer_plus_precursor,7,2,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.9159722222222222,4,2,3,5
transformer_plus_precursor,7,3,14,0.7142857142857143,1.0,0.5,0.5555555555555556,0.8741883116883117,6,0,4,4
transformer_plus_precursor,7,4,14,0.5714285714285714,0.625,0.625,0.625,0.7141369047619047,3,3,3,5
transformer_plus_precursor,7,5,14,0.5,0.5714285714285714,0.5,0.5128205128205128,0.7077266483516484,3,3,4,4
transformer_plus_precursor,8,1,14,0.5714285714285714,0.625,0.625,0.625,0.6499323593073594,3,3,3,5
transformer_plus_precursor,8,2,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.8635912698412698,4,2,3,5
transformer_plus_precursor,8,3,14,0.6428571428571429,0.8,0.5,0.5405405405405406,0.8821428571428571,5,1,4,4
transformer_plus_precursor,8,4,14,0.5714285714285714,0.6,0.75,0.7142857142857143,0.8112980769230769,2,4,2,6
transformer_plus_precursor,8,5,14,0.5714285714285714,0.625,0.625,0.625,0.7478375790875791,3,3,3,5
transformer_plus_precursor,9,1,14,0.7857142857142857,0.8571428571428571,0.75,0.7692307692307693,0.8338789682539683,5,1,2,6
transformer_plus_precursor,9,2,14,0.5,0.5555555555555556,0.625,0.6097560975609756,0.8301406926406927,2,4,3,5
transformer_plus_precursor,9,3,14,0.7857142857142857,0.7272727272727273,1.0,0.9302325581395349,0.8093614718614719,3,3,0,8
transformer_plus_precursor,9,4,14,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.9415178571428572,5,1,3,5
transformer_plus_precursor,9,5,14,0.5,0.5714285714285714,0.5,0.5128205128205128,0.7526175213675214,3,3,4,4
transformer_plus_precursor,10,1,14,0.7142857142857143,0.75,0.75,0.75,0.843190836940837,4,2,2,6
transformer_plus_precursor,10,2,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.7679924242424243,4,2,3,5
transformer_plus_precursor,10,3,14,0.6428571428571429,0.6363636363636364,0.875,0.813953488372093,0.7094065656565657,2,4,1,7
transformer_plus_precursor,10,4,14,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.9029761904761904,3,3,2,6
transformer_plus_precursor,10,5,14,0.5,0.5714285714285714,0.5,0.5128205128205128,0.8008814102564102,3,3,4,4
